,updates
0,1022230
1,792847
2,721643
3,425349
4,952240
5,784829
6,630185
7,866128
8,766025
9,974300
10,861404
11,1056665
12,778332
13,736779
14,914715
15,728874
16,721626
17,769509
18,896253
19,810395
20,879735
21,712439
22,301170
23,809783
24,907082
25,747874
26,817468
27,860706
28,741958
29,655542
30,460036
31,760020
32,866884
33,438181
34,329421
35,661436
36,820072
37,535590
38,1035594
39,1062490
40,952006
41,667722
42,675822
43,668885
44,807803
45,689968
46,742093
47,714642
48,730295
49,972757
50,950411
51,726435
52,702129
53,694163
54,431902
55,853801
56,829745
57,767343
58,626832
59,647029
60,732333
61,721710
62,596077
63,785715
64,687782
65,534842
66,727525
67,560053
68,457440
69,887227
70,769738
71,209853
72,802063
73,690032
74,735370
75,259040
76,842342
77,482494
78,746600
79,672548
80,933257
81,975037
82,580167
83,699385
84,895744
85,702653
86,648478
87,709109
88,710014
89,708217
90,755273
91,320563
92,789215
93,633970
94,709593
95,582661
96,539444
97,664184
98,631833
99,791245
100,648971
101,665188
102,411227
103,919301
104,953979
105,782765
106,460115
107,866638
108,649264
109,937826
110,538310
111,587162
112,816940
113,797258
114,499912
115,559420
116,781737
117,823339
118,666094
119,707024
120,661486
121,654436
122,572312
123,723195
124,512933
125,613807
126,745146
127,625917
128,752418
129,668208
130,776112
131,159784
132,457807
133,703326
134,759571
135,592046
136,473217
137,874782
138,673248
139,853163
140,742164
141,673777
142,711002
143,688137
144,589582
145,637783
146,562763
147,712674
148,116597
149,754602
150,411878
151,723813
152,489491
153,726740
154,705689
155,633365
156,753539
157,27784
158,781804
159,846329
160,469128
161,649377
162,655375
163,595602
164,706234
165,891264
166,611735
167,742624
168,349074
169,831937
170,689558
171,596628
172,436934
173,459260
174,727890
175,921234
176,439631
177,735718
178,853134
179,745987
180,697828
181,600344
182,665278
183,683720
184,635556
185,789034
186,271271
187,772212
188,636295
189,362565
190,867729
191,735990
192,528052
193,643539
194,667290
195,676377
196,637439
197,840113
198,845450
199,638155
200,709080
201,648554
202,610445
203,670811
204,661880
205,672362
206,738873
207,804374
208,848514
209,710412
210,682759
211,616135
212,628910
213,704686
214,644148
215,706643
216,650360
217,684022
218,790760
219,609145
220,698496
221,710384
222,634092
223,735489
