,updates
0,957782
1,905673
2,714545
3,757606
4,854232
5,775164
6,679154
7,752772
8,734606
9,457876
10,935827
11,668352
12,726295
13,939836
14,858368
15,822074
16,897126
17,977779
18,867129
19,742534
20,782037
21,841914
22,834294
23,385377
24,867046
25,752390
26,331129
27,205100
28,906673
29,190763
30,852495
31,733213
32,761463
33,807626
34,818461
35,892330
36,662561
37,885896
38,696076
39,752887
40,801756
41,910800
42,784334
43,721901
44,863892
45,800212
46,980049
47,796526
48,853985
49,827249
50,987512
51,638620
52,936722
53,821364
54,863238
55,875893
56,607146
57,988073
58,901084
59,833101
60,767021
61,967423
62,830482
63,779082
64,826625
65,759822
66,168650
67,816828
68,536964
69,958224
70,848854
71,742133
72,852876
73,758923
74,788247
75,779303
76,948546
77,710827
78,797571
79,824988
80,673030
81,950479
82,911373
83,619930
84,745180
85,890228
86,837715
87,879185
88,778048
89,778751
90,262534
91,794671
92,822596
93,725191
94,669612
95,615670
96,451456
97,686885
98,668581
99,803192
100,804250
101,736915
102,890309
103,559574
104,778175
105,528391
106,669153
107,854131
108,778353
109,764513
110,783469
111,779392
112,442320
113,521084
114,818128
115,769792
116,685761
117,664005
118,668399
119,894243
120,785642
121,341115
122,792911
123,829990
124,700879
125,778098
126,826795
127,758182
128,834651
129,674818
130,968150
131,733990
132,695594
133,467419
134,815387
135,734949
136,913134
137,138969
138,773739
139,144039
140,951355
141,628349
142,127162
143,769079
144,688706
145,890085
146,702605
147,451211
148,726561
149,666998
150,601080
151,776353
152,503478
153,740392
154,811229
155,693813
156,774406
157,679054
158,461990
159,473957
160,868173
161,855679
162,501712
163,746998
164,688614
165,779178
166,791198
167,540805
168,420257
169,859034
170,981072
171,924039
172,676122
173,838656
174,640045
175,716855
176,756998
177,764608
178,399876
179,728639
180,579504
181,784000
182,472492
183,778593
184,836290
185,240465
186,694298
187,666030
188,685683
189,624610
190,750008
191,752096
192,120149
193,771412
194,212325
195,748546
196,694688
197,472736
198,268808
199,300807
200,712818
201,779726
202,531501
203,164396
204,585105
205,613082
206,610529
207,341641
208,541343
209,670594
210,759439
211,813264
212,616923
213,509851
214,597965
215,737966
216,574581
217,752932
218,860572
219,170211
220,759424
221,699414
222,297387
223,705596
224,743048
225,24249
226,635693
227,774278
228,710974
229,729813
230,650880
231,753736
232,568557
233,628623
234,942491
235,108480
236,725214
237,796675
238,762296
239,801792
240,771647
241,669493
242,658222
243,705963
244,739112
245,803381
246,840211
247,525264
248,748598
249,624962
250,638272
251,757813
252,714872
253,790716
254,212436
255,792446
256,720952
257,618119
258,426536
259,501983
260,672586
261,754269
262,874467
263,680946
264,810558
265,734741
266,543962
267,807422
268,398821
269,743805
270,657509
271,566545
272,745762
273,463593
274,754572
275,611049
276,616313
277,653029
278,520777
279,790204
280,742126
281,645590
282,159588
283,282711
284,819701
285,763079
286,682739
287,775562
288,314435
289,836747
290,409092
291,702147
292,708560
293,510168
294,756989
295,556895
296,491536
297,56912
298,867352
299,722911
300,475961
301,356075
302,892135
303,721573
304,107138
305,763043
306,763103
307,651964
308,764189
309,554800
310,790869
311,761345
312,762063
313,525509
314,633823
315,579652
316,665630
317,609256
318,820641
319,792452
320,439812
321,621016
322,699156
323,692127
324,756929
325,729157
326,465738
327,783571
328,329048
329,592812
330,798541
331,665788
332,902680
333,679607
334,763547
335,499300
336,859003
337,760178
338,722809
339,521740
340,586291
341,749425
342,719525
343,562601
344,453829
345,825943
346,786539
347,242041
348,659208
349,733023
350,563655
351,706134
352,825406
353,812921
354,172491
355,330772
356,607028
357,671361
358,724158
359,686091
360,816499
361,613382
362,695392
363,673266
364,526005
365,776324
366,759859
367,580460
368,560885
369,501764
370,597923
371,729902
372,528436
373,602085
374,377347
375,838927
376,713145
377,704984
378,759374
379,664409
380,696574
381,645256
382,629022
383,587393
384,624334
385,698335
386,710045
387,769916
388,688091
389,341881
390,646819
391,625566
392,703697
393,546996
394,804220
395,669713
396,676936
397,579940
398,632458
399,708595
400,746617
401,588005
402,690004
403,548915
404,769181
405,658538
406,492432
407,592424
408,598612
409,531710
410,590907
411,519562
412,802769
413,473139
414,626366
415,874961
416,533128
417,559206
418,587657
419,708647
420,694200
421,324907
422,666154
423,785914
424,538228
425,372104
426,667509
427,714681
428,589545
429,661295
430,436811
431,757117
432,671637
433,796812
434,645826
435,630604
436,646856
437,518812
438,694941
439,622616
440,683030
441,609940
442,615426
443,645147
444,698881
445,711329
446,571122
447,765579
448,650221
449,647767
450,509110
451,551207
452,626746
453,731213
454,743713
455,542615
456,345400
457,561030
458,543523
459,570018
460,540406
461,794525
462,435152
463,612922
464,749610
465,529842
466,334261
467,722772
468,681145
469,637076
470,535590
471,644366
472,760330
473,583623
474,608920
475,660446
476,686507
477,647268
478,595393
479,653151
480,673575
481,791382
482,682109
483,481509
484,580354
485,651844
486,720522
487,288865
488,678634
489,408522
490,663804
491,374617
492,739396
493,432095
494,599878
495,650459
496,630970
497,684326
498,599452
499,714124
500,693596
501,709063
502,697713
503,588380
504,536160
505,494653
506,727466
507,524979
508,418695
509,574915
510,516852
511,661499
512,517703
513,710371
514,689804
515,515183
516,831538
517,680261
518,684703
519,670461
520,783751
521,537832
522,606407
523,705959
524,671202
525,417036
526,811922
527,700047
528,691874
529,779320
530,785848
531,624305
532,625799
533,648936
534,599381
535,561730
536,761671
537,299974
538,135512
539,563192
540,605555
541,594353
542,291397
543,501371
544,632758
545,609302
546,852717
547,651428
548,601067
549,474830
550,355549
551,503693
552,565051
553,522758
554,732961
555,614472
556,520635
557,652348
558,262879
559,607490
560,681175
561,749437
562,695361
563,592401
564,730133
565,461101
566,470704
567,641181
568,635250
569,398262
570,601745
571,496726
572,714310
573,493266
574,609083
575,416913
576,473681
577,656102
578,627152
579,417350
580,550909
581,707354
582,714041
583,535981
584,659675
585,628466
586,653768
587,367482
588,587473
589,585555
590,558662
591,664191
592,621981
593,465402
594,634181
595,622663
596,668591
597,731832
598,636872
599,433890
600,824825
601,557530
602,704232
603,613902
604,656229
605,636035
606,690714
607,566076
608,726353
609,743650
610,443239
611,609401
612,667901
613,625769
614,649140
615,722582
616,608342
617,325082
618,607534
619,576273
620,616358
621,633826
622,484664
623,563184
624,647507
625,646244
626,702533
627,681314
628,528612
629,324832
630,457509
631,206945
632,594976
633,603725
634,522264
635,655681
636,618034
637,398050
638,698073
639,788536
640,520246
641,716299
642,482731
643,718195
644,747267
645,766831
646,764151
647,663334
648,356532
649,608954
650,404435
651,644885
652,302366
653,574399
654,685134
655,537142
656,474294
657,579532
658,587208
659,397165
660,606028
661,529498
662,656326
663,584906
664,505938
665,601148
666,583489
667,728207
668,691887
669,673302
670,761142
671,479932
672,753113
673,553454
674,467129
675,684584
676,659561
677,683397
678,697466
679,687928
680,274910
681,476276
682,698061
683,687525
684,635163
685,745621
686,337969
687,675225
688,286712
689,711868
690,325167
691,530280
692,801170
693,378663
694,667001
695,516618
696,19319
697,686333
698,747566
699,385581
700,596031
701,956731
702,657995
703,760966
704,627045
705,298546
706,648281
707,580327
708,584088
709,568791
710,412431
711,664863
712,611679
713,653246
714,796450
715,869645
716,296876
717,535825
718,588414
719,143582
720,528308
721,579064
722,559567
723,572293
724,555566
725,715977
726,643345
727,661492
728,674733
729,664247
730,654991
731,705854
732,710665
733,637014
734,607804
735,697255
736,569256
737,449555
738,461774
739,613871
740,630787
741,597274
742,607118
743,480050
744,680508
745,580479
746,296284
747,446036
748,471700
749,850304
750,705366
751,566906
752,662307
753,649219
754,582558
755,726919
756,592921
757,536685
758,691879
759,526062
760,552371
761,357027
762,631911
763,718626
764,578791
765,531417
766,592674
767,699310
768,658490
769,603320
770,367590
771,660284
772,186594
773,617773
774,559230
775,661122
776,402724
777,461815
778,276307
779,638091
780,448952
781,577293
782,539658
783,719914
784,582747
785,323944
786,583307
787,638920
788,688552
789,573564
790,568832
791,482845
792,357855
793,530210
794,591776
795,712111
796,595165
797,646414
798,698930
799,660661
800,706552
801,819371
802,383842
803,437586
804,491925
805,503677
806,749823
807,551689
808,598348
809,606421
810,539877
811,588287
812,775773
813,713115
814,447706
815,66352
816,791649
817,673888
818,646409
819,524551
820,555904
821,338079
822,537686
823,453192
824,421114
825,303910
826,753092
827,608299
828,490937
829,505371
830,609108
831,529275
832,156098
833,647993
834,671091
835,693214
836,593859
837,632378
838,566786
839,603436
840,544893
841,383325
842,504909
843,615816
844,571217
845,593468
846,717922
847,475704
848,419304
849,680363
850,684387
851,508077
852,444013
853,622441
854,597855
855,476262
856,445435
857,617965
858,333725
859,592591
860,581283
861,228234
862,643122
863,678071
864,233575
865,637027
866,588597
867,82164
868,436606
869,662521
870,513115
871,563408
872,677575
873,249802
874,625109
875,643189
876,657264
877,618417
878,491071
879,352997
880,558261
881,492819
882,647871
883,595348
884,501619
885,628887
886,563732
887,333513
888,489535
889,381010
890,252810
891,583441
892,368837
893,776825
