Nonlinearity,Normalized A
0.01,126.269
0.02,63.1343
0.03,42.0894
0.04,31.5668
0.05,25.2533
0.06,21.0442
0.07,18.0377
0.08,15.7828
0.09,14.0289
0.1,12.6258
0.11,11.4778
0.12,10.5211
0.13,9.7116
0.14,9.0177
0.15,8.4163
0.16,7.8901
0.17,7.4257
0.18,7.013
0.19,6.6437
0.2,6.3113
0.21,6.0105
0.22,5.7371
0.23,5.4874
0.24,5.2586
0.25,5.048
0.26,4.8536
0.27,4.6737
0.28,4.5065
0.29,4.3509
0.3,4.2057
0.31,4.0698
0.32,3.9424
0.33,3.8227
0.34,3.7101
0.35,3.6038
0.36,3.5035
0.37,3.4086
0.38,3.3187
0.39,3.2334
0.4,3.1523
0.41,3.0752
0.42,3.0018
0.43,2.9318
0.44,2.8649
0.45,2.801
0.46,2.7399
0.47,2.6814
0.48,2.6253
0.49,2.5715
0.5,2.5199
0.51,2.4702
0.52,2.4225
0.53,2.3766
0.54,2.3324
0.55,2.2897
0.56,2.2486
0.57,2.209
0.58,2.1707
0.59,2.1337
0.6,2.0979
0.61,2.0633
0.62,2.0298
0.63,1.9973
0.64,1.9659
0.65,1.9354
0.66,1.9059
0.67,1.8772
0.68,1.8494
0.69,1.8224
0.7,1.7961
0.71,1.7706
0.72,1.7458
0.73,1.7217
0.74,1.6982
0.75,1.6753
0.76,1.6531
0.77,1.6314
0.78,1.6102
0.79,1.5896
0.8,1.5695
0.81,1.5499
0.82,1.5308
0.83,1.5122
0.84,1.4939
0.85,1.4761
0.86,1.4588
0.87,1.4418
0.88,1.4252
0.89,1.4089
0.9,1.3931
0.91,1.3775
0.92,1.3623
0.93,1.3475
0.94,1.3329
0.95,1.3187
0.96,1.3047
0.97,1.291
0.98,1.2776
0.99,1.2645
1,1.2517
1.01,1.239
1.02,1.2267
1.03,1.2145
1.04,1.2026
1.05,1.191
1.06,1.1795
1.07,1.1683
1.08,1.1572
1.09,1.1464
1.1,1.1357
1.11,1.1253
1.12,1.115
1.13,1.1049
1.14,1.095
1.15,1.0853
1.16,1.0757
1.17,1.0663
1.18,1.057
1.19,1.0479
1.2,1.039
1.21,1.0302
1.22,1.0215
1.23,1.013
1.24,1.0046
1.25,0.9963
1.26,0.9882
1.27,0.9802
1.28,0.9723
1.29,0.9646
1.3,0.9569
1.31,0.9494
1.32,0.942
1.33,0.9347
1.34,0.9275
1.35,0.9204
1.36,0.9134
1.37,0.9065
1.38,0.8997
1.39,0.893
1.4,0.8864
1.41,0.8799
1.42,0.8735
1.43,0.8672
1.44,0.8609
1.45,0.8548
1.46,0.8487
1.47,0.8427
1.48,0.8368
1.49,0.8309
1.5,0.8252
1.51,0.8195
1.52,0.8139
1.53,0.8083
1.54,0.8028
1.55,0.7974
1.56,0.7921
1.57,0.7868
1.58,0.7816
1.59,0.7765
1.6,0.7714
1.61,0.7664
1.62,0.7615
1.63,0.7566
1.64,0.7517
1.65,0.7469
1.66,0.7422
1.67,0.7376
1.68,0.7329
1.69,0.7284
1.7,0.7239
1.71,0.7194
1.72,0.715
1.73,0.7106
1.74,0.7063
1.75,0.7021
1.76,0.6979
1.77,0.6937
1.78,0.6896
1.79,0.6855
1.8,0.6815
1.81,0.6775
1.82,0.6735
1.83,0.6696
1.84,0.6658
1.85,0.6619
1.86,0.6582
1.87,0.6544
1.88,0.6507
1.89,0.647
1.9,0.6434
1.91,0.6398
1.92,0.6363
1.93,0.6327
1.94,0.6292
1.95,0.6258
1.96,0.6224
1.97,0.619
1.98,0.6156
1.99,0.6123
2,0.609
2.01,0.6058
2.02,0.6026
2.03,0.5994
2.04,0.5962
2.05,0.5931
2.06,0.59
2.07,0.5869
2.08,0.5838
2.09,0.5808
2.1,0.5778
2.11,0.5749
2.12,0.5719
2.13,0.569
2.14,0.5661
2.15,0.5633
2.16,0.5604
2.17,0.5576
2.18,0.5548
2.19,0.5521
2.2,0.5493
2.21,0.5466
2.22,0.5439
2.23,0.5413
2.24,0.5386
2.25,0.536
2.26,0.5334
2.27,0.5308
2.28,0.5283
2.29,0.5257
2.3,0.5232
2.31,0.5207
2.32,0.5183
2.33,0.5158
2.34,0.5134
2.35,0.511
2.36,0.5086
2.37,0.5062
2.38,0.5038
2.39,0.5015
2.4,0.4992
2.41,0.4969
2.42,0.4946
2.43,0.4923
2.44,0.4901
2.45,0.4879
2.46,0.4856
2.47,0.4835
2.48,0.4813
2.49,0.4791
2.5,0.477
2.51,0.4748
2.52,0.4727
2.53,0.4706
2.54,0.4685
2.55,0.4665
2.56,0.4644
2.57,0.4624
2.58,0.4604
2.59,0.4584
2.6,0.4564
2.61,0.4544
2.62,0.4524
2.63,0.4505
2.64,0.4485
2.65,0.4466
2.66,0.4447
2.67,0.4428
2.68,0.4409
2.69,0.439
2.7,0.4372
2.71,0.4353
2.72,0.4335
2.73,0.4317
2.74,0.4299
2.75,0.4281
2.76,0.4263
2.77,0.4245
2.78,0.4228
2.79,0.421
2.8,0.4193
2.81,0.4176
2.82,0.4159
2.83,0.4142
2.84,0.4125
2.85,0.4108
2.86,0.4091
2.87,0.4075
2.88,0.4058
2.89,0.4042
2.9,0.4025
2.91,0.4009
2.92,0.3993
2.93,0.3977
2.94,0.3961
2.95,0.3946
2.96,0.393
2.97,0.3914
2.98,0.3899
2.99,0.3884
3,0.3868
3.01,0.3853
3.02,0.3838
3.03,0.3823
3.04,0.3808
3.05,0.3793
3.06,0.3779
3.07,0.3764
3.08,0.3749
3.09,0.3735
3.1,0.372
3.11,0.3706
3.12,0.3692
3.13,0.3678
3.14,0.3664
3.15,0.365
3.16,0.3636
3.17,0.3622
3.18,0.3608
3.19,0.3594
3.2,0.3581
3.21,0.3567
3.22,0.3554
3.23,0.3541
3.24,0.3527
3.25,0.3514
3.26,0.3501
3.27,0.3488
3.28,0.3475
3.29,0.3462
3.3,0.3449
3.31,0.3436
3.32,0.3424
3.33,0.3411
3.34,0.3398
3.35,0.3386
3.36,0.3373
3.37,0.3361
3.38,0.3349
3.39,0.3336
3.4,0.3324
3.41,0.3312
3.42,0.33
3.43,0.3288
3.44,0.3276
3.45,0.3264
3.46,0.3252
3.47,0.324
3.48,0.3229
3.49,0.3217
3.5,0.3206
3.51,0.3194
3.52,0.3183
3.53,0.3171
3.54,0.316
3.55,0.3148
3.56,0.3137
3.57,0.3126
3.58,0.3115
3.59,0.3104
3.6,0.3093
3.61,0.3082
3.62,0.3071
3.63,0.306
3.64,0.3049
3.65,0.3038
3.66,0.3028
3.67,0.3017
3.68,0.3006
3.69,0.2996
3.7,0.2985
3.71,0.2975
3.72,0.2964
3.73,0.2954
3.74,0.2944
3.75,0.2933
3.76,0.2923
3.77,0.2913
3.78,0.2903
3.79,0.2893
3.8,0.2883
3.81,0.2873
3.82,0.2863
3.83,0.2853
3.84,0.2843
3.85,0.2833
3.86,0.2823
3.87,0.2814
3.88,0.2804
3.89,0.2794
3.9,0.2785
3.91,0.2775
3.92,0.2766
3.93,0.2756
3.94,0.2747
3.95,0.2737
3.96,0.2728
3.97,0.2719
3.98,0.2709
3.99,0.27
4,0.2691
4.01,0.2682
4.02,0.2673
4.03,0.2663
4.04,0.2654
4.05,0.2645
4.06,0.2636
4.07,0.2627
4.08,0.2619
4.09,0.261
4.1,0.2601
4.11,0.2592
4.12,0.2583
4.13,0.2575
4.14,0.2566
4.15,0.2557
4.16,0.2549
4.17,0.254
4.18,0.2531
4.19,0.2523
4.2,0.2514
4.21,0.2506
4.22,0.2497
4.23,0.2489
4.24,0.2481
4.25,0.2472
4.26,0.2464
4.27,0.2456
4.28,0.2448
4.29,0.2439
4.3,0.2431
4.31,0.2423
4.32,0.2415
4.33,0.2407
4.34,0.2399
4.35,0.2391
4.36,0.2383
4.37,0.2375
4.38,0.2367
4.39,0.2359
4.4,0.2351
4.41,0.2343
4.42,0.2335
4.43,0.2328
4.44,0.232
4.45,0.2312
4.46,0.2304
4.47,0.2297
