,Train accuracy,Test accuracy
0,0.195,0.1699
1,0.841,0.8697
2,0.898,0.9029
3,0.936,0.9105
4,0.925,0.9259
5,0.933,0.931
6,0.936,0.9306
7,0.944,0.9332
8,0.934,0.935
9,0.95,0.9352
10,0.941,0.9393
11,0.951,0.9391
12,0.947,0.9381
13,0.949,0.9413
14,0.947,0.9437
15,0.952,0.943
16,0.951,0.9439
17,0.948,0.9418
18,0.943,0.9437
19,0.954,0.9451
20,0.957,0.9459
21,0.947,0.9473
22,0.96,0.9458
23,0.965,0.9465
24,0.954,0.9472
25,0.942,0.9466
26,0.952,0.9453
27,0.959,0.9432
28,0.968,0.9495
29,0.963,0.9495
30,0.966,0.948
31,0.961,0.9493
32,0.972,0.9464
33,0.968,0.9528
34,0.961,0.9492
35,0.966,0.9528
36,0.956,0.954
37,0.961,0.9508
38,0.95,0.9509
39,0.961,0.9526
40,0.966,0.9516
41,0.975,0.9509
42,0.969,0.9515
43,0.965,0.9516
44,0.974,0.9543
45,0.979,0.953
46,0.955,0.9516
47,0.967,0.955
48,0.974,0.9536
49,0.972,0.9551
50,0.97,0.9559
