,Pos. wt. changes,Neg. wt. changes
0,980588,824818
1,806667,836762
2,809016,828576
3,826748,831461
4,834900,852565
5,842651,853709
6,864996,875298
7,871944,870582
8,886125,889277
9,894501,897345
10,916590,903209
11,925154,914206
12,937447,907527
13,934119,925429
14,942321,924139
15,946634,938363
16,955562,940318
17,965217,948172
18,978233,957384
19,977362,966052
20,988175,970861
21,997104,978807
22,1006499,982805
23,1012905,989795
24,1023554,997808
25,1022974,1001947
26,1016675,998027
27,1023933,997971
28,1033657,1007547
29,1029110,1013754
30,1024509,1000937
31,1018317,1007944
32,1028436,995855
33,1026996,1002612
34,1024948,1001085
35,1030192,1013391
36,1038072,1013177
37,1033579,1009683
38,1025377,1012157
39,1031120,1015240
40,1035589,1019187
41,1034893,1014560
42,1036643,1019897
43,1030221,1013169
44,1036555,1021730
45,1047744,1019816
46,1048029,1033979
47,1033147,1019701
48,1043031,1017127
49,1039438,1011366
